id,text,altText,description,json,isVisible,isActive
1,Root,,Root node,,0,0
2,Item,,Root,,1,1
3,Inventory Item,,Item,,1,1
4,Goal,,Item,,1,1
5,Routine,,Item,,1,1
6,Todo,,Item,,1,1
7,Task,,Todo,,1,1
8,Event,,Todo - Todo item that needs its date and time set,,1,1
9,Reminder,,Todo,,1,1
10,Tally,,Todo,,1,1
11,Inverse,,Todo,,1,1
12,Errand,,Todo,,1,1
13,Task Routine,,Routine,,1,1
14,Lifestyle,,Routine,,1,1
15,Maintainance,,Routine,,1,1
16,Housekeeping,,Routine,,1,1
17,Priority,,Root,,1,1
18,Spotlight,,Priority,,1,1
19,Primary,,Priority,,1,1
20,Secondary,,Priority,,1,1
21,Tertiary,,Priority,,1,1
22,Flexibility,,Root,,1,1
23,Definitive,,Flexibility,,1,1
24,Strict,,Flexibility,,1,1
25,Elastic,,Flexibility,,1,1
26,Flexible,,Flexibility,,1,1
27,Medium,,Root - Type of location that todo can be done. Allows for easier planning,,1,1
28,Mobile,,Medium,,1,1
29,Computer,,Medium,,1,1
30,Travel,,Medium,,1,1
31,Brick & Mortar,,Medium,,1,1
32,Home,,Medium,,1,1
33,Any,,Medium,,1,1
34,Era,,Root - Point in time,,1,1
35,Past,,Era,,1,1
36,Present,,Era,,1,1
37,Future,,Era,,1,1
38,Timeframe,,Root,,1,1
39,Millisecond,,Timeframe,,1,1
40,Second,,Timeframe,,1,1
41,Minute,,Timeframe,,1,1
42,Hour,,Timeframe,,1,1
43,Day,,Timeframe,,1,1
44,Workday,,Timeframe,,1,1
45,Weekday,,Timeframe,,1,1
46,Weekend Day,,Timeframe,,1,1
47,Weekend,,Timeframe,,1,1
48,Week,,Timeframe,,1,1
49,Month,,Timeframe,,1,1
50,Season,,Timeframe,,1,1
51,Quarter,,Timeframe,,1,1
52,Trimester,,Timeframe,,1,1
53,Bimester,,Timeframe,,1,1
54,Semester,,Timeframe,,1,1
55,Year,,Timeframe,,1,1
56,Milestone,,Timeframe,,1,1
57,Life,,Timeframe,,1,1
58,Repetition,,Root,,1,1
59,Millisecondly,,Repetition,,1,1
60,Secondly,,Repetition,,1,1
61,Minutley,,Repetition,,1,1
62,Hourly,,Repetition,,1,1
63,Daily,,Repetition,,1,1
64,Workdaily,,Repetition,,1,1
65,Weekdaily,,Repetition,,1,1
66,Weekendaily,,Repetition,,1,1
67,Weekendly,,Repetition,,1,1
68,Weekly,,Repetition,,1,1
69,Monthly,,Repetition,,1,1
70,Seasonally,,Repetition,,1,1
71,Quarterly,,Repetition,,1,1
72,Tri-Annually,,Repetition,,1,1
73,Bi-Annually,,Repetition,,1,1
74,Semi-Anually,,Repetition,,1,1
75,Annually,,Repetition,,1,1
76,Milestonly,,Repetition,,1,1
77,Lifely,,Repetition,,1,1
78,Time,,Root,,1,1
79,Time Type,time-type,Time,,1,1
80,Scheduled,,Time Type,,1,1
81,Recommended,,Time Type,,1,1
82,Due,,Time Type,,1,1
83,Endpoint,,Time,,1,1
84,Start,,Endpoint,,1,1
85,End,,Endpoint,,1,1
86,Moment,,Time,,1,1
87,Date,,Moment,,1,1
88,Time,,Moment,,1,1
89,DateTime,,Moment,,1,1
90,Point In Time,,Moment,,1,1
91,Point In Time Index,,Moment,,1,1
92,Day of Week,,Point In Time,,1,1
93,Day of Month,,Point In Time,,1,1
94,Sunday,,Day of Week,,1,1
95,Monday,,Day of Week,,1,1
96,Tuesday,,Day of Week,,1,1
97,Wednesday,,Day of Week,,1,1
98,Thursday,,Day of Week,,1,1
99,Friday,,Day of Week,,1,1
100,Saturday,,Day of Week,,1,1
101,Meal,,Root,,1,1
102,Recommended,,Meal - Recommended meals,,1,1
103,Consumed,,Meal - consumed meals,,1,1
104,Saved,,Meal - Meals that are saved so they can be copied later,,1,1
105,Control,,Root - Input of field where user can manipulate data,,1,1
106,Slider,,Control - Slider field type of the inventory log item,,1,1
107,Numberpad,,Control - Nuberpad field type of the inventory log item,,1,1
108,Counter,,Control - Up down tally counter field type of the inventory log item,,1,1
109,Textbox,,Control - Textbox field type of the inventory log item,,1,1
110,Textarea,,Control - Textarea field type of the inventory log item,,1,1
111,Textblock,,Control - Prevents having to create mapping tables for properties that are just a bunch of textblocks,,1,1
112,Dropdown,,Control - Dropdown field type for Inventory log item. The dropdown values are determined my other values that were used for the field,,1,1
113,Date Type,,Root,,1,1
114,Int,,Data Type,,1,1
115,Double,,Data Type,,1,1
116,String,,Data Type,,1,1
117,Boolean,,Data Type,,1,1
118,Object,,Data Type,,1,1
119,BriefingType,,Root,,1,1
120,Briefing,,Briefing Type,,1,1
121,Debriefing,,Briefing Type,,1,1
122,Event Type,,Root,,1,1
123,Event,,,,1,1
124,All-Day,,,,1,1
125,Todo,,,,1,1
126,Task,,,,1,1
127,Routine,,,,1,1
128,Routine 2,,"(This isn’t actually anything as yet. It’s for, just in case)",,1,1
129,Task Routine,,,,1,1
130,Sub-Type,,,,1,1
131,Sleep,,,,1,1
132,Breifing,,,,1,1
133,Meal,,,,1,1
134,Workout,,,,1,1
135,Log,,,,1,1
136,Inventory,,,,1,1
137,Time,,,,1,1
138,Repetitive,,,,,