id,text,description,isDeleted,createdAt,updatedAt,dateTimeDeleted,idType,position
25,Ability to talk to anyone,NULL,0,2022-01-16 12:01:36.365,2022-04-15 15:29:55.191677,NULL,19,NULL
3,Throw Sayeed an awesome bachelor party,NULL,0,2021-07-29 12:33:54.442,2021-07-29 12:33:54.442,NULL,NULL,NULL
78,Ability to dance comfortably,NULL,0,2022-05-05 18:55:18.011,2022-05-05 18:55:18.011,NULL,19,NULL
2,Meet Pepa,NULL,0,2021-07-29 12:30:50.44,2021-07-31 18:59:03.616344,NULL,NULL,NULL
4,Become a designer,NULL,0,2021-08-01 10:50:54.968,2021-08-01 11:08:01.617376,NULL,NULL,NULL
79,Learn Improve,NULL,0,2022-05-05 18:55:54.637,2022-05-05 18:55:54.637,NULL,19,NULL
80,Learn to dance,NULL,0,2022-05-05 18:56:11.118,2022-05-05 18:56:11.118,NULL,19,NULL
48,Finish Coach 1.0,NULL,0,2022-04-07 10:05:54.708,2022-04-21 16:04:40.255746,NULL,19,NULL
8,Perform daily briefings,NULL,0,2021-08-21 00:21:42.452,2021-08-21 00:21:42.452,NULL,NULL,NULL
50,Learn to dance,"I want to learn to dance, so I can learn to fully feel the music, and so that I can look hot in front of the ladies",0,2022-04-23 16:41:57.776,2022-04-23 16:41:57.776,NULL,19,NULL
9,Draw Chibi version of each BTS member,NULL,0,2021-08-30 00:34:09.56,2021-08-30 11:10:26.809782,NULL,NULL,NULL
10,Get A in biology,NULL,0,2021-12-06 12:29:55.581,2021-12-06 12:31:06.694316,NULL,NULL,NULL
11,Get A in biology,NULL,0,2021-12-06 12:31:37.617,2021-12-06 12:32:14.833401,NULL,NULL,NULL
12,Update resume & cover letter,NULL,0,2021-12-19 20:49:57.325,2021-12-19 20:49:57.326,NULL,NULL,NULL
13,Start practicing/implementing  the advice you learn from self help books,NULL,0,2022-01-08 12:02:36.09,2022-01-08 12:02:36.09,NULL,NULL,NULL
1,Help Mom,NULL,0,2021-07-28 23:28:40.457,2022-04-23 18:21:53.348054,NULL,19,NULL
51,Start contracting fulltime,NULL,0,2022-05-05 18:23:08.87,2022-05-05 18:23:08.87,NULL,19,NULL
52,Get fun high paying job,NULL,0,2022-05-05 18:23:55.394,2022-05-05 18:24:36.482135,NULL,19,NULL
53,Gain financial freedom,NULL,0,2022-05-05 18:25:03.788,2022-05-05 18:25:03.788,NULL,19,NULL
54,Be Rich!,NULL,0,2022-05-05 18:25:27.108,2022-05-05 18:25:27.108,NULL,19,NULL
55,Don't smoke,NULL,0,2022-05-05 18:27:18.356,2022-05-05 18:27:18.356,NULL,19,NULL
15,"'Own Your Morning'"" - Practice Advice""",NULL,0,2022-01-08 12:02:36.09,2022-01-08 12:27:12.22449,NULL,NULL,NULL
56,Read some of book,NULL,0,2022-05-05 18:27:59.353,2022-05-05 18:27:59.353,NULL,19,NULL
14,"'You Are a Badass'"" - Practice Advice""",NULL,0,2022-01-08 12:02:36.09,2022-01-08 13:02:00.860776,NULL,NULL,NULL
16,Draw 4 figures a week,NULL,0,2022-01-08 13:40:39.903,2022-01-08 13:40:39.903,NULL,NULL,NULL
17,Ween yourself off of Vyvanse,NULL,0,2022-01-14 11:59:07.698,2022-01-14 11:59:07.698,NULL,NULL,NULL
18,Take Vyvanse 5 or less times a week,NULL,0,2022-01-14 11:59:07.698,2022-01-14 11:59:07.698,NULL,NULL,NULL
19,Don't take more than 30mg of Vyvanse in one day,NULL,0,2022-01-14 11:59:07.698,2022-01-14 11:59:07.698,NULL,NULL,NULL
20,Out of bed by 8 every morning,NULL,0,2022-01-16 11:50:08.168,2022-01-16 11:50:08.168,NULL,NULL,NULL
21,Look good as hell all the time,NULL,0,2022-01-16 11:50:49.947,2022-01-16 11:51:39.214024,NULL,NULL,NULL
24,Take advice people give me and that I read in books,NULL,0,2022-01-16 11:52:11.098,2022-01-16 11:52:11.098,NULL,NULL,NULL
22,Maintain hair,NULL,0,2022-01-16 11:50:49.947,2022-01-16 11:52:29.987152,NULL,NULL,NULL
23,Maintain face,NULL,0,2022-01-16 11:51:39.211,2022-01-16 11:52:33.506175,NULL,NULL,NULL
26,"Go on at least 1 backpacking trip, in a different state, every month",NULL,0,2022-01-16 12:04:07.617,2022-01-16 12:04:07.617,NULL,NULL,NULL
28,Save 100k for down payment on house,NULL,0,2022-01-16 12:05:30.377,2022-01-16 12:05:30.377,NULL,NULL,NULL
30,Hit stud status,NULL,0,2022-01-16 12:11:08.932,2022-01-16 12:11:08.932,NULL,NULL,NULL
31,Own your weaknesses,NULL,0,2022-01-16 12:13:06.816,2022-01-16 12:13:06.816,NULL,NULL,NULL
32,Learn to talk to anyone,NULL,0,2022-01-16 12:13:53.261,2022-01-16 12:13:53.261,NULL,NULL,NULL
33,Learn to draw people really well,NULL,0,2022-01-16 12:15:30.454,2022-01-16 12:15:30.454,NULL,NULL,NULL
34,Produce video series for goals,NULL,0,2022-01-16 12:17:58.274,2022-01-16 12:17:58.274,NULL,NULL,NULL
35,Switch to spending my time working on my non programming goals,NULL,0,2022-01-16 12:19:57.158,2022-01-16 12:19:57.158,NULL,NULL,NULL
36,Make planner functional,NULL,0,2022-01-16 12:21:03.04,2022-01-16 12:21:03.04,NULL,NULL,NULL
39,"Write report on 'Own Your Morning'""",NULL,0,2022-01-16 12:30:54.502,2022-01-16 12:30:54.502,NULL,NULL,NULL
40,Build an intimate relationship with a girl,NULL,0,2022-01-16 13:50:40.938,2022-01-16 13:50:40.938,NULL,NULL,NULL
41,Start dating casually,NULL,0,2022-01-16 13:50:40.938,2022-01-16 13:50:40.938,NULL,NULL,NULL
37,Create planner Docs 1.0,NULL,0,2022-01-16 12:23:24.749,2022-01-24 11:10:33.376646,NULL,NULL,NULL
29,Get a new job,NULL,0,2022-01-16 12:10:51.093,2022-01-24 11:28:03.863022,NULL,NULL,NULL
43,Monetize Coach,Figure out was to make money off of Coach,0,2022-03-05 19:02:23.525,2022-03-05 19:02:23.525,NULL,NULL,NULL
44,Draw photo for each inventory metric,NULL,0,2022-03-05 19:11:22.302,2022-03-05 19:11:22.302,NULL,NULL,NULL
57,Read article,NULL,0,2022-05-05 18:28:23.304,2022-05-05 18:28:23.304,NULL,19,NULL
58,Read book,NULL,0,2022-05-05 18:31:35.357,2022-05-05 18:31:35.357,NULL,19,NULL
42,Find a girl to partner up with,NULL,0,2022-01-16 13:50:40.938,2022-03-06 09:54:33.531621,NULL,NULL,NULL
38,Don't run out of money,NULL,0,2022-01-16 12:24:20.944,2022-03-08 14:25:25.742314,NULL,NULL,NULL
59,Go on at least 1 trip,NULL,0,2022-05-05 18:32:12.392,2022-05-05 18:32:12.392,NULL,NULL,NULL
60,Learn to draw,NULL,0,2022-05-05 18:33:09.419,2022-05-05 18:33:09.419,NULL,19,NULL
46,"View Goal by timeframe, in Item Panel",NULL,0,2022-03-24 21:10:56.358,2022-03-24 21:11:20.208566,NULL,NULL,NULL
61,Learn Spanish,NULL,0,2022-05-05 18:35:27.076,2022-05-05 18:35:27.076,NULL,19,NULL
47,Draw 2 heads,NULL,0,2022-03-25 09:43:57.313,2022-03-25 09:47:09.347913,NULL,NULL,NULL
27,Create Astra's NFT collection,NULL,0,2022-01-16 12:05:03.612,2022-03-26 11:19:26.180991,NULL,NULL,NULL
45,Set up dating profiles,NULL,0,2022-03-06 09:54:33.529,2022-04-07 17:14:58.674093,NULL,NULL,NULL
81,Unleash my sense of humor,NULL,0,2022-05-05 18:57:28.331,2022-05-05 18:57:28.331,NULL,19,NULL
49,Go on 1 trip every month,NULL,0,2022-04-14 17:47:04.601,2022-04-14 17:47:04.601,NULL,19,NULL
6,Learn to draw,NULL,0,2021-08-20 19:17:24.873,2022-04-14 17:49:40.974121,NULL,19,NULL
7,Learn astrology,NULL,0,2021-08-20 19:17:42.873,2022-04-14 17:49:45.417671,NULL,19,NULL
5,Give Back,NULL,0,2021-08-05 23:46:08.564,2022-04-14 17:49:50.228274,NULL,20,NULL
82,Ability to meditate for unlimited amount of time,NULL,0,2022-05-05 18:57:45.374,2022-05-05 18:57:45.374,NULL,19,NULL
62,Learn about astrology,NULL,0,2022-05-05 18:36:23.727,2022-05-05 18:36:23.727,NULL,19,NULL
63,Learn about chakras,NULL,0,2022-05-05 18:48:41.405,2022-05-05 18:48:41.405,NULL,19,NULL
64,Learn to play the guitar,NULL,0,2022-05-05 18:49:07.597,2022-05-05 18:49:07.597,NULL,19,NULL
65,Learn to play the piano,NULL,0,2022-05-05 18:49:21.672,2022-05-05 18:49:21.672,NULL,19,NULL
66,Become a good writer,NULL,0,2022-05-05 18:49:34.265,2022-05-05 18:49:34.265,NULL,19,NULL
67,Get my shit together,NULL,0,2022-05-05 18:49:47.16,2022-05-05 18:49:47.16,NULL,19,NULL
68,Ability to descride ANYTHING with 10 adjectives,NULL,0,2022-05-05 18:50:02.341,2022-05-05 18:50:02.341,NULL,19,NULL
69,Get a degree in psychology and/or neuroscience,NULL,0,2022-05-05 18:50:26.186,2022-05-05 18:50:26.186,NULL,19,NULL
70,Become cultured,NULL,0,2022-05-05 18:50:45.949,2022-05-05 18:50:45.949,NULL,19,NULL
71,Become a wilderness first responder,NULL,0,2022-05-05 18:51:15.976,2022-05-05 18:51:15.976,NULL,19,NULL
72,Continually improve reading skills,NULL,0,2022-05-05 18:51:36.564,2022-05-05 18:51:36.564,NULL,19,NULL
73,Always be prepared,NULL,0,2022-05-05 18:51:54.144,2022-05-05 18:51:54.144,NULL,19,NULL
74,Understand the universe,NULL,0,2022-05-05 18:52:11.078,2022-05-05 18:52:11.078,NULL,19,NULL
75,Be self aware,NULL,0,2022-05-05 18:53:11.867,2022-05-05 18:53:11.867,NULL,19,NULL
76,Meditate,NULL,0,2022-05-05 18:53:45.931,2022-05-05 18:53:45.931,NULL,19,NULL
83,Be stress free,NULL,0,2022-05-05 18:58:14.567,2022-05-05 18:58:14.567,NULL,19,NULL
85,Greet 20 strangers,NULL,0,2022-05-05 18:59:22.068,2022-05-05 18:59:22.068,NULL,19,NULL
86,5 small conversations,NULL,0,2022-05-05 19:01:34.078,2022-05-05 19:01:34.078,NULL,19,NULL
87,Start conversation with familiar girl,NULL,0,2022-05-05 19:01:53.902,2022-05-05 19:01:53.902,NULL,19,NULL
88,Start conversation with strange girl,NULL,0,2022-05-05 19:02:07.494,2022-05-05 19:02:07.494,NULL,19,NULL
77,Ability to meditate for 1 hour without guidance,NULL,0,2022-05-05 18:54:05.289,2022-05-05 19:03:31.813646,NULL,19,NULL
89,Compliment 5 girls,NULL,0,2022-05-05 19:04:31.562,2022-05-05 19:04:31.562,NULL,19,NULL
90,Get a date,NULL,0,2022-05-05 19:04:49.744,2022-05-05 19:04:49.744,NULL,19,NULL
91,Go to 2 more social events,NULL,0,2022-05-05 19:05:04.268,2022-05-05 19:05:04.268,NULL,19,NULL
92,Go to 2 social events,NULL,0,2022-05-05 19:05:31.328,2022-05-05 19:05:31.328,NULL,19,NULL
93,Go on 2 more dates,NULL,0,2022-05-05 19:05:55.232,2022-05-05 19:05:55.232,NULL,19,NULL
94,Go on 2 dates,NULL,0,2022-05-05 19:06:10.473,2022-05-05 19:06:10.473,NULL,19,NULL
95,Become one of the greatest entertainers,NULL,0,2022-05-05 19:06:25.936,2022-05-05 19:06:25.936,NULL,19,NULL
96,Learn to hook up with the girls that are out of your league,NULL,0,2022-05-05 19:06:45.303,2022-05-05 19:06:45.303,NULL,19,NULL
97,Ability to describe ANY feature on a woman with at least 3 adjectives,NULL,0,2022-05-05 19:07:00.551,2022-05-05 19:07:00.551,NULL,19,NULL
98,Ability to start a conversation with anyone,NULL,0,2022-05-05 19:07:11.653,2022-05-05 19:07:11.653,NULL,19,NULL
99,Start casual dating,NULL,0,2022-05-05 19:07:26.873,2022-05-05 19:07:26.873,NULL,19,NULL
100,Get a girlfriend,NULL,0,2022-05-05 19:08:03.491,2022-05-05 19:08:03.491,NULL,19,NULL
101,Don't be a hermit,NULL,0,2022-05-05 19:08:22.56,2022-05-05 19:08:22.56,NULL,19,NULL
102,Cardio goal,NULL,0,2022-05-05 19:08:41.253,2022-05-05 19:08:41.253,NULL,NULL,NULL
103,Eat body weight in protein,NULL,0,2022-05-05 19:09:34.046,2022-05-05 19:09:34.046,NULL,19,NULL
107,Come up with new workout,NULL,0,2022-05-05 19:26:34.427,2022-05-05 19:26:34.427,NULL,19,NULL
108,Don't drink,NULL,0,2022-05-05 19:26:47.257,2022-05-05 19:26:47.257,NULL,19,NULL
109,Cardio goal,NULL,0,2022-05-05 19:27:02.85,2022-05-05 19:27:02.85,NULL,19,NULL
110,Tat left side of body,NULL,0,2022-05-05 19:27:18.289,2022-05-05 19:27:18.289,NULL,19,NULL
111,Don't worry about your hairline!,NULL,0,2022-05-05 19:28:47.185,2022-05-05 19:28:47.185,NULL,19,NULL
114,Go through the day without feeling sleepy,NULL,0,2022-05-05 19:29:27.205,2022-05-05 19:29:27.205,NULL,19,NULL
115,Eat like a normal person,NULL,0,2022-05-05 19:29:40.006,2022-05-05 19:29:40.006,NULL,19,NULL
116,Keep as much of my hairline as possible,NULL,0,2022-05-05 19:29:52.172,2022-05-05 19:29:52.172,NULL,19,NULL
117,Look good as hell All the time!,NULL,0,2022-05-05 19:30:06.788,2022-05-05 19:30:06.788,NULL,19,NULL
119,Stay active,NULL,0,2022-05-05 19:30:29.991,2022-05-05 19:30:29.991,NULL,19,NULL
120,Stay healthy,NULL,0,2022-05-05 19:30:58.588,2022-05-05 19:30:58.588,NULL,19,NULL
113,💪🏾 Weight 185lbs,NULL,0,2022-05-05 19:29:13.536,2022-05-06 20:18:20.898516,NULL,19,NULL
112,🏋🏾 Bench press 225lbs,NULL,0,2022-05-05 19:29:01.446,2022-05-06 20:19:07.702199,NULL,19,NULL
118,🛌 Get enough sleep,NULL,0,2022-05-05 19:30:18.36,2022-05-06 20:21:50.237365,NULL,19,NULL
104,🍔 Eat 5 meals,NULL,0,2022-05-05 19:09:58.719,2022-05-06 20:23:14.208812,NULL,19,NULL
105,🛌 Get at least 8 hours of sleep,NULL,0,2022-05-05 19:26:01.832,2022-05-06 20:24:14.542825,NULL,19,NULL
106,🏋🏾 Work out 4 days a week,NULL,0,2022-05-05 19:26:16.117,2022-05-06 20:25:17.634181,NULL,19,NULL
84,😃 Be happy,NULL,0,2022-05-05 18:58:52.356,2022-05-06 20:25:35.246343,NULL,19,NULL