id,idType,idTimeframe,idStartRepeat,idEndRepeat,idStartIteration,idEndIteration,interval,frequency,createdAt,updatedAt,idRoutineRepeat
19,80,63,126,NULL,125,124,1,1,2022-01-07 16:31:18.132,2022-01-07 16:31:18.132,NULL
20,80,63,129,NULL,128,127,1,1,2022-01-07 16:39:46.954,2022-01-07 16:39:46.954,19
21,80,63,132,NULL,131,130,1,1,2022-01-07 16:41:44.516,2022-01-07 16:41:44.515,19
23,80,63,138,NULL,137,136,1,1,2022-01-07 16:42:57.463,2022-01-07 16:42:57.463,19
24,80,63,141,NULL,140,139,1,1,2022-01-07 16:43:04.947,2022-01-07 16:43:04.947,19
25,80,63,144,NULL,143,142,1,1,2022-01-07 16:43:17.35,2022-01-07 16:43:17.35,19
26,80,63,147,NULL,146,145,1,1,2022-01-07 16:43:25.434,2022-01-07 16:43:25.434,19
27,80,63,150,NULL,149,148,1,1,2022-01-07 16:43:29.615,2022-01-07 16:43:29.615,19
28,80,63,153,NULL,152,151,1,1,2022-01-07 16:48:33.6,2022-01-07 16:48:33.6,19
29,80,63,156,NULL,155,154,1,1,2022-01-07 16:49:51.091,2022-01-07 16:49:51.091,19
30,80,63,159,NULL,158,157,1,1,2022-01-07 16:50:08.419,2022-01-07 16:50:08.419,19
31,80,63,162,NULL,161,160,1,1,2022-01-07 16:52:01.74,2022-01-07 16:52:01.74,19
32,80,63,165,NULL,164,163,1,1,2022-01-07 16:52:20.807,2022-01-07 16:52:20.807,19
33,80,63,168,NULL,167,166,1,1,2022-01-07 16:56:18.709,2022-01-07 16:56:18.709,19
34,80,63,171,NULL,170,169,1,1,2022-01-07 16:58:13.595,2022-01-07 16:58:13.595,19
35,80,63,174,NULL,173,172,1,1,2022-01-07 16:58:33.187,2022-01-07 16:58:33.187,19
36,80,63,177,NULL,176,175,1,1,2022-01-07 17:02:43.75,2022-01-07 17:02:43.75,19
37,80,63,180,NULL,179,178,1,1,2022-01-07 17:07:26.98,2022-01-07 17:07:26.98,19
38,80,68,181,NULL,NULL,NULL,1,1,2022-01-07 17:13:09.005,2022-01-07 17:13:09.005,NULL
39,80,68,190,NULL,189,188,1,5,2022-01-08 14:25:21.884,2022-01-08 14:25:21.884,NULL
40,80,63,195,NULL,194,193,1,1,2022-01-08 18:08:15.392,2022-01-08 18:08:15.392,NULL
41,80,68,198,NULL,197,196,1,2,2022-01-08 18:09:26.616,2022-01-08 18:44:22.141869,40
42,80,63,201,NULL,200,199,1,1,2022-01-08 18:09:31.263,2022-01-08 18:44:33.526512,40
43,80,63,204,NULL,203,202,1,1,2022-01-08 18:09:35.749,2022-01-08 18:44:44.233749,40
44,80,63,207,NULL,206,205,1,1,2022-01-08 18:09:39.882,2022-01-08 18:44:55.591255,40
45,80,63,281,NULL,280,279,1,1,2022-03-16 20:41:47.744,2022-03-16 20:41:47.744,NULL
46,80,68,287,286,285,284,1,5,2022-03-22 09:21:04.767,2022-03-22 09:21:04.767,NULL
47,80,68,291,290,289,288,1,5,2022-03-22 10:10:40.873,2022-03-22 10:10:40.873,NULL
22,80,63,135,NULL,134,133,1,1,2022-01-07 16:42:42.13,2022-04-13 10:19:15.528625,19
48,80,63,366,365,NULL,NULL,1,1,2022-04-28 11:15:21.652,2022-04-28 11:15:21.652,NULL
49,80,63,368,367,NULL,NULL,1,1,2022-04-28 11:16:00.514,2022-04-28 11:16:00.514,NULL
50,80,63,370,369,NULL,NULL,1,1,2022-04-28 12:26:54.36,2022-04-28 12:26:54.36,NULL
51,80,63,378,377,376,375,1,1,2022-05-06 20:32:00.911,2022-05-06 20:32:00.911,NULL