id,idRepeat,index,createdAt,updatedAt
1,38,1,2022-01-07 17:13:09.006,2022-01-07 17:13:09.006
2,39,2,2022-01-08 14:25:21.885,2022-01-08 14:25:21.885
3,39,3,2022-01-08 14:25:21.885,2022-01-08 14:25:21.885
4,39,4,2022-01-08 14:25:21.885,2022-01-08 14:25:21.885
5,39,5,2022-01-08 14:25:21.885,2022-01-08 14:25:21.885
6,39,6,2022-01-08 14:25:21.885,2022-01-08 14:25:21.885
7,41,2,2022-01-08 18:10:36.621,2022-01-08 18:10:36.621
8,41,4,2022-01-08 18:10:36.621,2022-01-08 18:10:36.621
9,46,2,2022-03-22 09:21:04.772,2022-03-22 09:21:04.772
10,46,3,2022-03-22 09:21:04.772,2022-03-22 09:21:04.772
11,46,4,2022-03-22 09:21:04.772,2022-03-22 09:21:04.772
12,46,5,2022-03-22 09:21:04.772,2022-03-22 09:21:04.772
13,46,6,2022-03-22 09:21:04.772,2022-03-22 09:21:04.772
14,47,2,2022-03-22 10:10:40.874,2022-03-22 10:10:40.874
15,47,3,2022-03-22 10:10:40.874,2022-03-22 10:10:40.874
16,47,4,2022-03-22 10:10:40.874,2022-03-22 10:10:40.874
17,47,5,2022-03-22 10:10:40.875,2022-03-22 10:10:40.875
18,47,6,2022-03-22 10:10:40.875,2022-03-22 10:10:40.875