id,idRoutineIteration,hasTodoEvent
100,4513,0
101,4515,0
102,4517,0
103,4519,0
104,4521,0
105,4523,0
106,4525,0
107,4512,0
108,4514,0
109,4516,0
110,4518,0
111,4520,0
112,4522,0
113,4524,0
114,4526,0
115,4527,0
116,4528,0
117,4529,0
118,4530,0
119,4531,0
120,4532,0
121,4533,0
122,4534,0
123,4535,0
124,4536,0
125,4537,0
126,4538,0
127,4539,0
128,4540,0
129,4541,0
130,4542,0
131,6872,0
132,6874,0
133,6876,0
134,6878,0
654,23908,0
1019,29615,0
1022,29618,0
1024,29620,0
1026,29622,0
1028,29624,0
1030,29626,0
1032,29628,0
1034,29630,0
1036,29632,0
1038,29634,0
1040,29636,0
1042,29638,0
1044,29640,0
1046,29642,0
1048,29644,0
1050,29646,0
1052,29648,0
1054,29650,0
1056,29652,0
1058,29654,0
1060,29656,0
1062,29658,0
1064,29660,0
1066,29662,0
1068,29664,0
1070,29666,0
162,6871,0
163,6873,0
164,6875,0
165,6877,0
1072,29668,0
68,3267,0
69,3269,0
70,3271,0
71,3273,0
72,3275,0
73,3277,0
74,3279,0
75,3281,0
76,3283,0
77,3285,0
78,3287,0
79,3289,0
80,3291,0
81,3293,0
82,3295,0
83,3297,0
84,3266,0
85,3268,0
86,3270,0
87,3272,0
88,3274,0
89,3276,0
90,3278,0
91,3280,0
92,3282,0
93,3284,0
94,3286,0
95,3288,0
96,3290,0
97,3292,0
98,3294,0
99,3296,0
1074,29670,0
1076,29672,0
1078,29674,0
473,20859,0
475,20861,0
477,20863,0
479,20865,0
1080,29676,0
1082,29678,0
1084,29680,0
1086,29682,0
1088,29684,0
1090,29686,0
1092,29688,0
1094,29690,0
1096,29692,0
1098,29694,0
1100,29696,0
1102,29698,0
1104,29700,0
1106,29702,0
1108,29704,0
1110,29706,0
1112,29708,0
1114,29710,0
1116,29712,0
1118,29714,0
194,6968,0
195,6969,0
196,6970,0
197,6971,0
198,6972,0
1120,29716,0
1122,29718,0
1124,29720,0
1126,29722,0
1128,29724,0
1130,29726,0
1132,29728,0
1134,29730,0
1136,29732,0
1138,29734,0
1139,30890,0
1141,30892,0
1143,30894,0
1145,30896,0
1147,30898,0
1149,30900,0
1151,30902,0
1153,30904,0
1155,30906,0
1157,30908,0
1159,30910,0
1161,30912,0
1163,30914,0
1165,30916,0
1167,30918,0
1169,30920,0
1171,30922,0
226,7032,0
227,7033,0
228,7034,0
229,7035,0
230,7036,0
1173,30924,0
1175,30926,0
1177,30928,0
1179,30930,0
1181,30932,0
1183,30934,0
1185,30936,0
1187,30938,0
1189,30940,0
1191,30942,0
1193,30944,0
1195,30946,0
1197,30948,0
1199,30950,0
1201,30952,0
1203,30954,0
1205,30956,0
1207,30958,0
1209,30960,0
1211,30962,0
1213,30964,0
1215,30966,0
655,23909,0
1020,29616,0
1021,29617,0
1023,29619,0
1025,29621,0
258,7096,0
259,7097,0
260,7098,0
261,7099,0
262,7100,0
1027,29623,0
1029,29625,0
1031,29627,0
1033,29629,0
1035,29631,0
1037,29633,0
1039,29635,0
1041,29637,0
1043,29639,0
1045,29641,0
1047,29643,0
1049,29645,0
1051,29647,0
1053,29649,0
1055,29651,0
1057,29653,0
1059,29655,0
1061,29657,0
1063,29659,0
1065,29661,0
1067,29663,0
1069,29665,0
1071,29667,0
1073,29669,0
1075,29671,0
474,20860,0
476,20862,0
478,20864,0
1077,29673,0
1079,29675,0
1081,29677,0
1083,29679,0
1085,29681,0
1087,29683,0
1089,29685,0
1091,29687,0
1093,29689,0
1095,29691,0
1097,29693,0
1099,29695,0
1101,29697,0
1103,29699,0
1105,29701,0
1107,29703,0
1109,29705,0
1111,29707,0
1113,29709,0
1115,29711,0
1117,29713,0
1119,29715,0
1121,29717,0
1123,29719,0
1125,29721,0
1127,29723,0
1129,29725,0
1131,29727,0
1133,29729,0
1135,29731,0
1137,29733,0
1140,30891,0
1142,30893,0
1144,30895,0
1146,30897,0
1148,30899,0
1150,30901,0
1152,30903,0
1154,30905,0
1156,30907,0
1158,30909,0
1160,30911,0
1162,30913,0
1164,30915,0
1166,30917,0
1168,30919,0
1170,30921,0
1172,30923,0
1174,30925,0
1176,30927,0
1178,30929,0
1180,30931,0
1182,30933,0
1184,30935,0
1186,30937,0
1188,30939,0
1190,30941,0
1192,30943,0
1194,30945,0
1196,30947,0
1198,30949,0
1200,30951,0
1202,30953,0
1204,30955,0
1206,30957,0
1208,30959,0
1210,30961,0
1212,30963,0
1214,30965,0
1216,30967,0
1217,30968,0
1218,30969,0
1219,30970,0
1220,30971,0
1221,30972,0
1222,30973,0
1223,30974,0
1224,30975,0
1225,30976,0
1226,30977,0
1227,30978,0
1228,30979,0
1229,30980,0
1230,30981,0
1231,30982,0
1232,30983,0
1233,30984,0
1234,30985,0
1235,30986,0
1236,30987,0
1237,30988,0
1238,30989,0
1239,30990,0
1240,30991,0
1241,30992,0
1242,30993,0
1243,30994,0
1244,30995,0
1245,30996,0
1246,30997,0
1247,30998,0
1248,30999,0
1249,31000,0
1250,31001,0
1251,31002,0
1252,31003,0
1253,31004,0
1254,31005,0
1255,31006,0
1256,31007,0
1257,31008,0
1258,31009,0
1259,31010,0
1260,31011,0
1261,31012,0
1262,31013,0
1263,32731,0
1264,32732,0
1265,32733,0
1266,32734,0
1267,32735,0