id,idType,idEndpoint,idMoment,idFlexibility,dateTiem,createdAt,updatedAt
8,81,84,89,25,2021-07-26 20:02:38,2021-07-26 20:06:14.043,2021-07-26 20:06:14.043
9,81,84,89,25,2021-07-26 21:17:53,2021-07-26 21:18:00.214,2021-07-26 21:18:00.214
10,80,84,89,25,2021-07-26 23:39:51.668,2021-07-26 23:39:51.677,2021-07-26 23:39:51.677
11,80,84,87,25,2021-07-27 00:00:00,2021-07-26 23:42:45.105,2021-07-26 23:42:45.105
12,80,84,87,25,2021-07-28 00:00:00,2021-07-28 14:10:39.183,2021-07-28 14:10:39.183
13,80,84,87,25,2021-07-28 00:00:00,2021-07-28 23:30:42.663,2021-07-28 23:30:42.663
14,81,84,89,25,2021-07-29 11:27:48,2021-07-29 11:28:08.183,2021-07-29 11:28:08.183
15,80,85,87,25,2021-08-01 00:00:00,2021-07-29 12:53:02.973,2021-07-29 12:53:02.973
16,80,84,87,25,2021-07-29 12:52:00,2021-07-29 12:53:02.972,2021-07-29 12:53:02.972
17,81,84,89,25,2021-07-29 19:37:39,2021-07-29 19:37:51.921,2021-07-29 19:37:51.921
18,81,84,89,25,2021-07-29 21:33:23,2021-07-29 21:33:29.772,2021-07-29 21:33:29.772
19,81,84,89,25,2021-07-31 14:12:09,2021-07-31 14:12:16.425,2021-07-31 14:12:16.425
20,81,84,89,25,2021-07-30 00:00:00,2021-07-31 14:14:32.328,2021-07-31 14:14:32.328
21,81,84,89,25,2021-07-30 00:00:00,2021-07-31 14:40:42.892,2021-07-31 14:40:42.891
22,81,84,89,25,2021-07-30 00:00:00,2021-07-31 14:48:02.503,2021-07-31 14:48:02.503
23,81,84,89,25,2021-07-30 00:00:00,2021-07-31 14:52:20.55,2021-07-31 14:52:20.55
24,81,84,89,25,2021-07-30 00:00:00,2021-07-31 14:59:25.497,2021-07-31 14:59:25.497
25,80,85,87,25,2021-08-06 00:00:00,2021-07-31 18:44:45.013,2021-07-31 18:44:45.013
26,80,84,87,25,2021-07-31 18:45:00,2021-07-31 18:46:20.421,2021-07-31 18:46:20.421
27,81,84,89,25,2021-07-31 00:00:00,2021-08-01 13:41:59.076,2021-08-01 13:41:59.076
28,80,85,87,25,2021-08-21 00:00:00,2021-08-05 23:43:48.92,2021-08-05 23:43:48.92
29,80,84,87,25,2021-08-05 23:43:00,2021-08-05 23:43:48.92,2021-08-05 23:43:48.92
30,80,84,87,25,2021-08-06 00:17:00,2021-08-06 00:17:39.797,2021-08-06 00:17:39.797
31,80,84,87,25,2021-07-28 00:00:00,2021-08-09 13:08:45.408,2021-08-09 13:08:45.408
32,80,84,87,25,2021-07-28 00:00:00,2021-08-09 13:11:20.124,2021-08-09 13:11:20.123
33,80,84,87,25,2021-07-28 00:00:00,2021-08-09 13:12:51.333,2021-08-09 13:12:51.333
34,80,84,87,25,2021-07-28 00:00:00,2021-08-09 13:14:31.885,2021-08-09 13:14:31.885
35,80,84,87,25,2021-07-28 00:00:00,2021-08-09 13:14:43.468,2021-08-09 13:14:43.468
36,80,84,87,25,2021-07-28 00:00:00,2021-08-09 13:18:21.567,2021-08-09 13:18:21.567
37,80,84,87,25,2021-07-28 00:00:00,2021-08-09 13:22:08.143,2021-08-09 13:22:08.143
38,80,84,87,25,2021-07-28 00:00:00,2021-08-09 13:23:13.623,2021-08-09 13:23:13.623
39,80,84,87,25,2021-07-28 00:00:00,2021-08-09 13:23:55.073,2021-08-09 13:23:55.073
40,80,84,87,25,2021-07-28 00:00:00,2021-08-09 13:26:28.386,2021-08-09 13:26:28.386
41,80,84,87,25,2021-07-28 00:00:00,2021-08-09 13:30:50.732,2021-08-09 13:30:50.732
42,80,84,87,25,2021-07-28 00:00:00,2021-08-09 13:31:08.792,2021-08-09 13:31:08.792
43,80,84,87,25,2021-07-28 00:00:00,2021-08-09 13:31:22.34,2021-08-09 13:31:22.34
44,80,84,87,25,2021-07-28 00:00:00,2021-08-09 13:31:38.326,2021-08-09 13:31:38.326
45,80,84,87,25,2021-07-28 00:00:00,2021-08-09 13:31:43.446,2021-08-09 13:31:43.446
46,81,84,89,25,2021-08-09 00:00:00,2021-08-09 15:17:37.116,2021-08-09 15:17:37.116
47,81,84,89,25,2021-08-09 00:00:00,2021-08-09 15:20:04.999,2021-08-09 15:20:04.999
48,81,84,89,25,2021-08-09 00:00:00,2021-08-09 15:23:26.865,2021-08-09 15:23:26.865
49,81,84,89,25,2021-08-09 00:00:00,2021-08-09 15:26:13.385,2021-08-09 15:26:13.385
50,81,84,89,25,2021-08-09 00:00:00,2021-08-09 15:27:01.146,2021-08-09 15:27:01.146
51,81,84,89,25,2021-08-09 00:00:00,2021-08-09 15:28:15.89,2021-08-09 15:28:15.89
52,80,84,87,25,2021-08-09 15:30:00,2021-08-09 15:30:13.803,2021-08-09 15:30:13.803
53,80,84,87,25,2021-08-09 15:35:00,2021-08-09 15:35:15.688,2021-08-09 15:35:15.688
54,80,84,87,25,2021-08-09 15:36:00,2021-08-09 15:37:00.719,2021-08-09 15:37:00.719
55,80,84,87,25,2021-08-09 00:00:00,2021-08-09 15:51:17.476,2021-08-09 15:51:17.476
56,81,84,89,25,2021-08-09 00:00:00,2021-08-09 16:21:49.613,2021-08-09 16:21:49.614
57,81,84,89,25,2021-08-09 00:00:00,2021-08-09 16:37:22.69,2021-08-09 16:37:22.69
58,81,84,89,25,2021-08-09 00:00:00,2021-08-09 16:37:27.399,2021-08-09 16:37:27.399
59,81,84,89,25,2021-08-09 00:00:00,2021-08-09 16:37:51.75,2021-08-09 16:37:51.75
60,81,84,89,25,2021-08-09 00:00:00,2021-08-09 20:53:03.12,2021-08-09 20:53:03.12
61,81,84,89,25,2021-08-09 00:00:00,2021-08-09 20:54:04.598,2021-08-09 20:54:04.598
62,80,84,87,25,2021-08-23 00:00:00,2021-08-09 23:52:36.049,2021-08-09 23:52:36.049
63,81,84,89,25,2021-08-11 00:00:00,2021-08-11 13:29:27.041,2021-08-11 13:29:27.041
64,81,84,89,25,2021-08-11 00:00:00,2021-08-11 13:30:43.245,2021-08-11 13:30:43.245
65,81,84,89,25,2021-08-11 00:00:00,2021-08-11 13:57:41.482,2021-08-11 13:57:41.482
66,81,84,89,25,2021-08-11 00:00:00,2021-08-11 13:58:08.448,2021-08-11 13:58:08.448
67,81,84,89,25,2021-08-11 00:00:00,2021-08-11 13:58:25.361,2021-08-11 13:58:25.361
68,81,84,89,25,2021-08-14 00:00:00,2021-08-14 00:49:48.596,2021-08-14 00:49:48.596
69,81,84,89,25,2021-08-15 00:00:00,2021-08-15 18:57:47.584,2021-08-15 18:57:47.584
70,81,84,89,25,2021-08-15 00:00:00,2021-08-15 18:59:18.484,2021-08-15 18:59:18.484
71,80,84,87,25,2021-08-21 00:00:00,2021-08-21 00:52:04.359,2021-08-21 00:52:04.359
72,80,84,87,25,2021-08-21 00:00:00,2021-08-21 00:52:09.194,2021-08-21 00:52:09.194
73,80,84,87,25,2021-08-21 00:00:00,2021-08-21 00:52:18.887,2021-08-21 00:52:18.887
74,81,84,89,25,2021-08-21 00:00:00,2021-08-21 12:06:43.862,2021-08-21 12:06:43.862
75,81,84,89,25,2021-08-21 00:00:00,2021-08-21 12:07:11.709,2021-08-21 12:07:11.709
76,81,84,89,25,2021-08-21 00:00:00,2021-08-21 12:07:29.232,2021-08-21 12:07:29.232
77,81,84,89,25,2021-08-21 00:00:00,2021-08-21 14:00:05.275,2021-08-21 14:00:05.275
78,81,84,89,25,2021-08-21 00:00:00,2021-08-21 14:00:37.227,2021-08-21 14:00:37.226
79,81,84,89,25,2021-09-01 00:00:00,2021-09-01 11:00:19.012,2021-09-01 11:00:19.012
80,81,84,89,25,2021-09-01 00:00:00,2021-09-01 11:00:37.049,2021-09-01 11:00:37.049
81,81,84,89,25,2021-09-01 00:00:00,2021-09-01 11:00:54.658,2021-09-01 11:00:54.658
82,81,84,89,25,2021-09-01 00:00:00,2021-09-01 14:55:46.08,2021-09-01 14:55:46.08
83,81,84,89,25,2021-09-01 00:00:00,2021-09-01 14:55:49.212,2021-09-01 14:55:49.212
84,80,84,87,25,2021-09-13 00:00:00,2021-09-13 14:02:59.582,2021-09-13 14:02:59.583
85,81,84,89,25,2021-09-21 00:00:00,2021-09-21 21:01:15.955,2021-09-21 21:01:15.955
86,80,85,87,25,2021-11-07 00:00:00,2021-11-03 12:02:44.323,2021-11-03 12:02:44.323
87,80,84,87,25,2021-11-03 00:00:00,2021-11-03 12:02:44.322,2021-11-03 12:02:44.322
88,81,84,89,25,2021-11-03 00:00:00,2021-11-03 12:04:01.574,2021-11-03 12:04:01.574
89,81,84,89,25,2021-11-03 00:00:00,2021-11-03 12:06:56.958,2021-11-03 12:06:56.958
90,81,84,89,25,2021-11-04 00:00:00,2021-11-04 11:20:36.177,2021-11-04 11:20:36.177
91,81,84,89,25,2021-11-04 00:00:00,2021-11-04 11:20:39.628,2021-11-04 11:20:39.628
92,81,84,89,25,2021-11-04 00:00:00,2021-11-04 11:22:46.358,2021-11-04 11:22:46.358
93,81,84,89,25,2021-11-04 00:00:00,2021-11-04 14:41:24.433,2021-11-04 14:41:24.433
94,81,84,89,25,2021-11-04 00:00:00,2021-11-04 14:41:29.098,2021-11-04 14:41:29.098
95,81,84,89,25,2021-11-04 00:00:00,2021-11-05 07:18:22.129,2021-11-05 07:18:22.129
96,81,84,89,25,2021-11-04 00:00:00,2021-11-05 07:21:18.807,2021-11-05 07:21:18.807
97,81,84,89,25,2021-11-09 00:00:00,2021-11-09 15:13:18.655,2021-11-09 15:13:18.655
98,81,84,89,25,2021-11-09 00:00:00,2021-11-09 22:38:57.469,2021-11-09 22:38:57.469
99,81,84,89,25,2021-11-09 00:00:00,2021-11-09 22:40:02.129,2021-11-09 22:40:02.129
100,81,84,89,25,2021-11-12 00:00:00,2021-11-10 08:26:47.226,2021-11-10 08:26:47.226
101,81,84,89,25,2021-11-12 00:00:00,2021-11-10 08:27:20.884,2021-11-10 08:27:20.884
102,81,84,89,25,2021-11-12 00:00:00,2021-11-10 08:54:37.794,2021-11-10 08:54:37.793
103,81,84,89,25,2021-11-11 00:00:00,2021-11-11 12:18:57.404,2021-11-11 12:18:57.404
104,81,84,89,25,2021-11-14 00:00:00,2021-11-14 12:26:55.488,2021-11-14 12:26:55.488
105,80,85,87,25,2021-12-24 00:00:00,2021-12-19 20:52:07.717,2021-12-19 20:52:07.717
106,80,84,87,25,2021-12-20 00:00:00,2021-12-19 20:52:07.716,2021-12-19 20:52:07.716
107,80,85,87,25,2021-12-24 00:00:00,2021-12-19 20:52:43.779,2021-12-19 20:52:43.779
108,80,84,87,25,2021-12-20 00:00:00,2021-12-19 20:52:43.779,2021-12-19 20:52:43.779
109,80,85,87,25,2021-12-24 00:00:00,2021-12-19 20:53:14.126,2021-12-19 20:53:14.126
110,80,84,87,25,2021-12-20 00:00:00,2021-12-19 20:53:14.126,2021-12-19 20:53:14.126
111,80,85,87,25,2021-12-24 00:00:00,2021-12-19 20:53:42.346,2021-12-19 20:53:42.346
112,80,84,87,25,2021-12-20 00:00:00,2021-12-19 20:53:42.346,2021-12-19 20:53:42.346
113,81,84,89,25,2021-12-20 00:00:00,2021-12-20 16:40:05.781,2021-12-20 16:40:05.781
114,80,84,88,25,2021-12-30 08:00:00,2021-12-30 01:19:28.134,2021-12-30 01:19:28.134
115,80,85,88,25,2021-12-30 10:00:00,2021-12-30 01:19:28.136,2021-12-30 01:19:28.136
116,81,84,89,25,2022-01-05 00:00:00,2022-01-05 12:39:29.955,2022-01-05 12:39:29.955
117,81,84,89,25,2022-01-07 00:00:00,2022-01-07 11:27:36.738,2022-01-07 11:27:36.738
118,81,84,89,25,2022-01-07 00:00:00,2022-01-07 11:38:45.734,2022-01-07 11:38:45.734
119,81,84,89,25,2022-01-07 00:00:00,2022-01-07 11:41:32.457,2022-01-07 11:41:32.457
120,81,84,89,25,2022-01-07 00:00:00,2022-01-07 11:41:56.942,2022-01-07 11:41:56.942
121,80,85,88,25,2021-12-30 10:00:00,2022-01-07 15:08:08.045,2022-01-07 15:08:08.045
122,80,84,88,25,2021-12-30 08:00:00,2022-01-07 15:08:08.045,2022-01-07 15:08:08.045
123,80,84,87,25,2021-07-28 00:00:00,2022-01-07 15:08:08.045,2022-01-07 15:08:08.045
124,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:31:18.133,2022-01-07 16:31:18.133
125,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:31:18.133,2022-01-07 16:31:18.133
126,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:31:18.133,2022-01-07 16:31:18.133
127,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:39:46.955,2022-01-07 16:39:46.955
128,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:39:46.955,2022-01-07 16:39:46.955
129,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:39:46.954,2022-01-07 16:39:46.954
130,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:41:44.516,2022-01-07 16:41:44.516
131,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:41:44.516,2022-01-07 16:41:44.516
132,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:41:44.516,2022-01-07 16:41:44.516
133,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:42:42.131,2022-01-07 16:42:42.131
134,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:42:42.131,2022-01-07 16:42:42.131
135,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:42:42.13,2022-01-07 16:42:42.13
136,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:42:57.464,2022-01-07 16:42:57.464
137,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:42:57.463,2022-01-07 16:42:57.463
138,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:42:57.463,2022-01-07 16:42:57.463
139,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:43:04.948,2022-01-07 16:43:04.948
140,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:43:04.948,2022-01-07 16:43:04.948
141,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:43:04.948,2022-01-07 16:43:04.948
142,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:43:17.35,2022-01-07 16:43:17.35
143,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:43:17.35,2022-01-07 16:43:17.35
144,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:43:17.35,2022-01-07 16:43:17.35
145,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:43:25.435,2022-01-07 16:43:25.435
146,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:43:25.434,2022-01-07 16:43:25.435
147,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:43:25.434,2022-01-07 16:43:25.434
148,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:43:29.615,2022-01-07 16:43:29.615
149,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:43:29.615,2022-01-07 16:43:29.615
150,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:43:29.615,2022-01-07 16:43:29.615
151,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:48:33.6,2022-01-07 16:48:33.6
152,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:48:33.6,2022-01-07 16:48:33.6
153,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:48:33.6,2022-01-07 16:48:33.6
154,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:49:51.092,2022-01-07 16:49:51.092
155,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:49:51.092,2022-01-07 16:49:51.092
156,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:49:51.091,2022-01-07 16:49:51.091
157,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:50:08.419,2022-01-07 16:50:08.419
158,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:50:08.419,2022-01-07 16:50:08.419
159,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:50:08.419,2022-01-07 16:50:08.419
160,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:52:01.741,2022-01-07 16:52:01.741
161,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:52:01.741,2022-01-07 16:52:01.741
162,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:52:01.74,2022-01-07 16:52:01.74
163,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:52:20.808,2022-01-07 16:52:20.808
164,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:52:20.808,2022-01-07 16:52:20.808
165,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:52:20.808,2022-01-07 16:52:20.808
166,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:56:18.71,2022-01-07 16:56:18.71
167,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:56:18.71,2022-01-07 16:56:18.71
168,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:56:18.709,2022-01-07 16:56:18.709
169,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:58:13.596,2022-01-07 16:58:13.596
170,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:58:13.596,2022-01-07 16:58:13.596
171,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:58:13.595,2022-01-07 16:58:13.595
172,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:58:33.188,2022-01-07 16:58:33.188
173,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:58:33.188,2022-01-07 16:58:33.188
174,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:58:33.187,2022-01-07 16:58:33.187
175,80,85,88,25,2022-01-07 10:00:00,2022-01-07 17:02:43.751,2022-01-07 17:02:43.751
176,80,84,88,25,2022-01-07 08:00:00,2022-01-07 17:02:43.75,2022-01-07 17:02:43.75
177,80,84,87,25,2022-01-07 00:00:00,2022-01-07 17:02:43.75,2022-01-07 17:02:43.75
178,80,85,88,25,2022-01-07 10:00:00,2022-01-07 17:07:26.981,2022-01-07 17:07:26.981
179,80,84,88,25,2022-01-07 08:00:00,2022-01-07 17:07:26.981,2022-01-07 17:07:26.981
180,80,84,87,25,2022-01-07 00:00:00,2022-01-07 17:07:26.98,2022-01-07 17:07:26.98
181,80,84,87,25,2022-01-07 00:00:00,2022-01-07 17:13:09.006,2022-01-07 17:13:09.006
182,80,85,87,25,2022-01-31 00:00:00,2022-01-08 13:02:00.858,2022-01-08 13:02:00.858
183,80,84,87,25,2022-01-01 00:00:00,2022-01-08 13:02:00.857,2022-01-08 13:02:00.857
184,80,85,87,25,2022-01-31 00:00:00,2022-01-08 13:04:45.214,2022-01-08 13:04:45.214
185,80,84,87,25,2022-01-01 00:00:00,2022-01-08 13:04:45.214,2022-01-08 13:04:45.214
186,80,85,87,25,2022-01-15 00:00:00,2022-01-08 14:13:32.966,2022-01-08 14:13:32.966
187,80,84,87,25,2022-01-09 00:00:00,2022-01-08 14:13:32.965,2022-01-08 14:13:32.965
188,80,85,88,25,2022-01-08 08:00:00,2022-01-08 14:25:21.885,2022-01-08 14:25:21.885
189,80,84,88,25,2022-01-08 06:00:00,2022-01-08 14:25:21.884,2022-01-08 14:25:21.884
190,80,84,87,25,2022-01-09 00:00:00,2022-01-08 14:25:21.884,2022-01-08 14:25:21.884
191,81,84,89,25,2022-01-08 00:00:00,2022-01-08 16:16:01.183,2022-01-08 16:16:01.183
192,81,84,89,25,2022-01-08 00:00:00,2022-01-08 16:16:34.912,2022-01-08 16:16:34.912
