1|Take Bentley for a walk :)||f|2021-07-26 20:06:14.065-04|2021-07-26 20:06:14.065-04||f|
2|Mow the lawn||f|2021-07-26 21:18:00.326-04|2021-07-26 21:18:00.326-04||f|
35|Music Lessons||f|2021-07-29 10:38:15.234-04|2022-01-07 12:39:13.899367-05||t|
30|Wash your face||f|2021-07-29 10:32:03.75-04|2022-01-07 16:56:18.715638-05||f|
28|End shower with cold water||f|2021-07-29 10:30:22.058-04|2022-01-05 15:20:21.572972-05||f|
17|Maintain hygiene||f|2021-07-28 19:34:01.418-04|2022-01-07 17:58:48.622399-05||t|
3|Apply for Industriuos position|"Lexi''s Post:
https://www.linkedin.com/feed/update/urn:li:activity:6825476471780327424/

Job Post:
https://boards.greenhouse.io/industrious/jobs/3226229"|t|2021-07-26 23:39:51.626-04|2021-07-26 23:44:15.714593-04||f|
46|Get in contact with Sayeed's peeps||f|2021-07-29 14:07:46.737-04|2022-04-28 16:23:29.352003-04||f|"{'"goal_3'":1}"
44|Start planning Sayeed's bachelor party||f|2021-07-29 11:28:08.194-04|2021-07-29 14:07:46.739672-04||f|
13|Breakfast||f|2021-07-28 18:59:12.573-04|2022-01-07 17:58:42.086285-05||t|
9|Take care of Bentley||f|2021-07-28 18:57:51.708-04|2022-01-07 17:58:35.229345-05||t|
5|Wellness activities||f|2021-07-28 14:13:40.671-04|2022-01-07 17:58:28.861058-05||t|
6|Record Inventory||f|2021-07-28 18:57:00.903-04|2022-01-05 15:22:40.25767-05||f|
8|Dry skin brushing||f|2021-07-28 18:57:00.903-04|2022-01-05 15:22:27.865518-05||f|
67|Return biapers for mom||t|2021-08-09 15:17:37.135-04|2021-08-09 15:19:36.426273-04||f|
11|Feed Bentley||f|2021-07-28 18:57:51.708-04|2022-04-13 10:19:15.532734-04||f|
68|Return diapers for mom||t|2021-08-09 15:20:18.622-04|2021-08-09 15:23:17.363758-04||f|
19|Brush your teeth||f|2021-07-28 19:34:01.418-04|2022-01-07 16:49:51.098286-05||f|
15|Record breakfast||f|2021-07-28 18:59:12.573-04|2022-01-07 16:43:25.440633-05||f|
16|Take medicine||f|2021-07-28 18:59:12.573-04|2022-01-07 16:43:29.621485-05||f|
92|Look up tactical course||f|2021-08-15 18:57:47.608-04|2022-04-28 16:23:31.14318-04||f|"{'"goal_3'":2}"
21|Exercise||f|2021-07-28 19:35:11.577-04|2022-01-07 12:37:25.781783-05||t|
18|Flo your nase||f|2021-07-28 19:34:01.418-04|2022-01-05 15:21:26.094838-05||f|
81|Fix curfuffle with plane tickets||f|2021-08-09 20:53:03.139-04|2021-08-09 20:53:03.139-04||f|
24|Shower||f|2021-07-28 19:35:26.475-04|2022-01-07 16:52:01.747107-05||f|
82|Buy pre workout||f|2021-08-09 20:54:04.611-04|2021-08-09 20:54:04.611-04||f|
22|Jog||f|2021-07-28 19:35:11.577-04|2022-01-05 15:20:54.928604-05||f|
20|Walk Bentley||f|2021-07-28 19:34:39.504-04|2022-01-07 16:50:08.425784-05||f|
47|Sign-up for mixtape live|https://www.npr.org/mixtape|f|2021-07-29 19:37:51.954-04|2021-07-29 20:13:10.504398-04||f|
48|Replace filters||f|2021-07-29 21:33:29.784-04|2021-07-29 21:33:29.784-04||f|
49|Saw desk||t|2021-07-31 14:12:16.465-04|2021-07-31 14:13:09.968126-04||f|
50|Saw desk||t|2021-07-31 14:14:32.347-04|2021-07-31 14:40:36.116661-04||f|
57|Buy plane ticket||f|2021-07-31 18:59:03.614-04|2022-04-28 16:23:31.822111-04||f|"{'"goal_2'":1}"
31|Put on lotion||f|2021-07-29 10:32:03.75-04|2022-01-07 16:58:13.602221-05||f|
29|Wipe down shower||f|2021-07-29 10:31:10.711-04|2022-01-05 15:20:16.183474-05||f|
34|Sponge your hair||t|2021-07-29 10:36:35.193-04|2021-07-29 10:37:03.180198-04||f|
69|Return diapers for mom||t|2021-08-09 15:23:26.877-04|2021-08-09 15:26:08.901666-04||f|
70|Return diapers for mom||t|2021-08-09 15:26:13.448-04|2021-08-09 15:26:36.125828-04||f|
71|Return diapers for mom||t|2021-08-09 15:27:01.155-04|2021-08-09 15:27:41.669804-04||f|
51|Saw desk||t|2021-07-31 14:40:42.912-04|2021-07-31 14:47:38.787705-04||f|
52|Saw desk||t|2021-07-31 14:48:05.367-04|2021-07-31 14:52:15.123907-04||f|
53|Saw desk||t|2021-07-31 14:52:20.563-04|2021-07-31 14:59:16.39356-04||f|
54|Saw desk||f|2021-07-31 14:59:25.523-04|2021-07-31 14:59:25.523-04||f|
45|Put Mom's bed together||f|2021-07-29 12:51:50.966-04|2022-04-28 16:23:38.32178-04||f|"{'"goal_1'":3}"
59|Learn to graphically design people||f|2021-08-01 11:03:36.975-04|2021-08-01 11:07:37.297826-04||f|
60|Learn to draw people||f|2021-08-01 11:03:36.975-04|2021-08-01 11:07:40.808974-04||f|
61|Edge lawn||f|2021-08-01 13:41:59.086-04|2021-08-01 13:41:59.086-04||f|
4|Apply for Industrious position|"Lexi''s Post:
https://www.linkedin.com/feed/update/urn:li:activity:6825476471780327424/

Job Post:
https://boards.greenhouse.io/industrious/jobs/3226229"|t|2021-07-26 23:42:45.103-04|2021-08-05 13:19:52.41754-04||f|
62|Watch Soul||f|2021-08-05 23:42:31.678-04|2021-08-05 23:42:31.679-04||f|
63|Come up with present/project for Josi||f|2021-08-05 23:43:48.92-04|2021-08-05 23:43:48.92-04||f|
65|BUY DIRTBIKE!||f|2021-08-05 23:56:06-04|2021-08-05 23:56:06-04||f|
66|Go sky diving!||f|2021-08-06 00:17:39.797-04|2021-08-06 00:17:39.797-04||f|
33|Put on deodorant||f|2021-07-29 10:36:07.831-04|2022-01-07 17:02:43.756409-05||f|
39|Mental Exercise||f|2021-07-29 10:38:48.386-04|2022-01-07 12:39:19.988044-05||t|
36|Aural Skills||f|2021-07-29 10:38:15.234-04|2022-01-05 15:19:37.918664-05||f|
37|Guitar lessons||f|2021-07-29 10:38:15.234-04|2022-01-05 15:19:01.978778-05||f|
38|Piano lessons||f|2021-07-29 10:38:15.234-04|2022-01-05 15:18:54.375978-05||f|
10|Take Bentley out||f|2021-07-28 18:57:51.708-04|2022-01-07 17:12:18.515319-05||f|
43|Record Inventory||f|2021-07-29 10:39:48.837-04|2022-01-05 15:18:25.417117-05||f|
41|Grammer lessons||f|2021-07-29 10:38:48.386-04|2022-01-05 15:15:10.566481-05||f|
7|Deep breathing||f|2021-07-28 18:57:00.903-04|2022-01-05 15:22:33.746053-05||f|
14|Eat breakfast||f|2021-07-28 18:59:12.573-04|2022-01-07 16:43:17.356051-05||f|
27|Dab hair||f|2021-07-29 10:29:25.288-04|2022-01-07 16:52:20.814218-05||f|
32|Scan yourself||f|2021-07-29 10:35:33.363-04|2022-01-07 16:58:33.194023-05||f|
72|Return diapers for mom||t|2021-08-09 15:28:15.902-04|2021-08-09 15:34:42.864684-04||f|
73|Bath Bentley||t|2021-08-09 15:30:13.802-04|2021-08-09 15:35:39.690064-04||f|
74|Bathe Bentley||t|2021-08-09 15:35:15.688-04|2021-08-09 15:35:43.574728-04||f|
75|Bathe Bentley||t|2021-08-09 15:37:00.719-04|2021-08-09 15:42:45.07728-04||f|
76|Bathe Bentley||f|2021-08-09 15:51:17.476-04|2021-08-09 15:51:17.476-04||f|
77|Return diapers for mom||f|2021-08-09 16:21:49.656-04|2021-08-09 16:21:49.656-04||f|
78|Buy protein||f|2021-08-09 16:37:22.707-04|2021-08-09 16:37:22.707-04||f|
79|Buy creatine||f|2021-08-09 16:37:27.407-04|2021-08-09 16:37:27.407-04||f|
80|Deposit money||f|2021-08-09 16:37:51.757-04|2021-08-09 16:37:51.757-04||f|
83|Start journaling before school starts||t|2021-08-09 23:52:36.048-04|2021-08-09 23:54:49.057434-04||f|
84|Start journaling before school starts||f|2021-08-09 23:55:26.859-04|2021-08-09 23:55:26.859-04||f|
86|Get astrology and drawing books from the attic||f|2021-08-11 13:30:43.315-04|2021-08-11 13:30:43.315-04||f|
87|Get book on birth charts||f|2021-08-11 13:57:41.575-04|2021-08-11 13:57:41.576-04||f|
88|Get book on drawing and character design||f|2021-08-11 13:58:08.508-04|2021-08-11 13:58:08.508-04||f|
89|Watch course on design composition||f|2021-08-11 13:58:25.529-04|2021-08-11 13:58:25.529-04||f|
85|Buy line art (3 directions x 3 body types)||t|2021-08-11 13:29:28.385-04|2021-08-13 11:07:44.728578-04||f|
91|Buy knitting equptment||f|2021-08-14 00:49:48.611-04|2021-08-14 00:49:48.611-04||f|
55|Thing's Mom's asking of me||f|2021-07-31 18:44:45.01-04|2022-04-28 16:23:38.328172-04||f|"{'"goal_1'":4}"
93|Learn how to knit a baby blanket||f|2021-08-15 18:59:18.497-04|2021-08-15 18:59:18.497-04||f|
96|Drawing exercises||f|2021-08-20 20:44:59.632-04|2021-08-20 20:44:59.632-04||f|
97|Trace photos of yourself||f|2021-08-20 20:44:59.633-04|2021-08-20 20:44:59.633-04||f|
40|Adjective lessons||f|2021-07-29 10:38:48.386-04|2022-01-05 15:18:39.246525-05||f|
42|Spanish lessons||f|2021-07-29 10:38:48.386-04|2022-01-05 15:18:33.028047-05||f|
98|Briefing||t|2021-08-21 00:21:42.452-04|2021-11-14 14:51:49.583237-05||f|
94|Create drawing learning plan||f|2021-08-20 19:17:24.873-04|2022-04-28 16:23:38.479795-04||f|"{'"goal_6'":1}"
58|Learn to design people||f|2021-08-01 10:50:54.968-04|2022-04-28 16:23:32.3323-04||f|"{'"goal_4'":1}"
95|Create astrology learning plan||f|2021-08-20 19:17:42.873-04|2022-04-28 16:23:38.483543-04||f|"{'"goal_7'":1}"
64|Give your time back||f|2021-08-05 23:47:50.174-04|2022-04-28 16:23:38.486725-04||f|"{'"goal_5'":1}"
150|Floss||f|2022-01-08 18:09:17.824-05|2022-01-08 18:44:22.147054-05||f|
149|Spray hair||f|2022-01-08 18:09:10.807-05|2022-01-08 18:44:33.532609-05||f|
101|Buy Andrew Loomis books||f|2021-08-21 12:06:43.895-04|2021-08-21 12:06:43.895-04||f|
102|Draw Jung-Kook||f|2021-08-21 12:07:11.717-04|2021-08-21 12:07:11.717-04||f|
103|Digitize Jung-Kook||f|2021-08-21 12:07:29.237-04|2021-08-21 12:07:29.237-04||f|
106|Set up Alexa Show||f|2021-09-01 11:00:19.034-04|2021-09-01 11:00:19.034-04||f|
107|Buy Cheeze-Its! for Patrick||f|2021-09-01 11:00:37.058-04|2021-09-01 11:00:37.058-04||f|
108|Packs Mom's coat||f|2021-09-01 11:00:54.664-04|2021-09-01 11:00:54.664-04||f|
111|Become a participant in a GA Tech memory lab experiment|https://outlook.office.com/mail/inbox/id/AAQkAGM1YmRiOWQ0LTI3Y2EtNGJlZC1iNzU4LWE0ZTI2MjYxZjRmZAAQABg1SOf8OkZWhxohab10bQ8%3D|f|2021-09-13 14:02:59.582-04|2021-09-13 14:02:59.582-04||f|
112|https://boards.greenhouse.io/janetechnologies/jobs/4716720002?gh_src=92ea65162us||f|2021-09-21 21:01:16.018-04|2021-09-21 21:01:16.018-04||f|
113|Fix brakes||t|2021-10-15 15:02:55.962-04|2021-10-16 11:40:39.603104-04||f|
110|Mow lawn||t|2021-09-01 14:55:49.219-04|2021-10-16 11:44:43.415525-04||f|
115|Unpack car||f|2021-11-03 12:04:01.582-04|2021-11-03 12:04:01.582-04||f|
148|Wash face||f|2022-01-08 18:09:02.203-05|2022-01-08 18:44:44.239035-05||f|
116|Host site||f|2021-11-03 12:06:56.966-04|2021-11-03 12:06:56.966-04||f|
147|Brush teeth||f|2022-01-08 18:08:48.397-05|2022-01-08 18:44:55.596752-05||f|
151|Work on portrait of Val||f|2022-01-08 19:40:20.883-05|2022-01-08 19:40:20.883-05||f|
137|Make appointment with vet|"Annual physical, distempered adult booster, kennel cough, heartwor,mtest (encouraged) $211, t4 blood work $50
"|f|2022-01-05 12:39:30.03-05|2022-01-08 11:45:40.025493-05||f|
114|Come up with time-blocking schedule|"Fill schedule, Leave time (2 hours)
 for TV



"|f|2021-11-03 12:02:44.322-04|2021-11-04 11:18:19.676807-04||f|
119|Coach workitem (drag and drop)||f|2021-11-04 11:22:46.366-04|2021-11-04 11:22:46.366-04||f|
120|Pay electric bill||f|2021-11-04 14:41:24.44-04|2021-11-04 14:41:24.44-04||f|
121|Pay Geico bill||f|2021-11-04 14:41:29.104-04|2021-11-04 14:41:29.104-04||f|
122|Pay Verizon||f|2021-11-05 07:18:22.136-04|2021-11-05 07:18:22.136-04||f|
123|Deal with charges on REI card||f|2021-11-05 07:21:18.813-04|2021-11-05 07:21:18.813-04||f|
109|Bathe Bentley||t|2021-09-01 14:55:46.103-04|2021-11-09 10:26:17.977534-05||f|
181|Write requirements for Coach 1.0||f|2022-01-24 11:10:33.374-05|2022-04-28 16:23:38.429357-04||f|"{'"goal_37'":3}"
117|Draw self||t|2021-11-04 11:20:36.186-04|2021-11-09 10:28:13.222093-05||f|
124|temp||t|2021-11-09 15:13:18.685-05|2021-11-09 15:13:21.551351-05||f|
125|Coach: Add task actions||f|2021-11-09 22:38:57.477-05|2021-11-09 22:38:57.477-05||f|
126|Write what you do with your hours||f|2021-11-09 22:40:02.136-05|2021-11-09 22:40:02.136-05||f|
127|Look into nueroscience internships (Childrens Healthcare)||f|2021-11-10 08:26:47.235-05|2021-11-10 08:26:47.235-05||f|
128|Look into professors Harshita suggested||f|2021-11-10 08:27:20.89-05|2021-11-10 08:27:20.89-05||f|
129|Sign up for class||f|2021-11-10 08:54:37.813-05|2021-11-10 08:54:37.813-05||f|
130|Message girl about tutoring her||t|2021-11-11 12:18:57.415-05|2021-11-12 12:16:13.21932-05||f|
131|Help Dad finish setting up his Binance||f|2021-11-14 12:26:56.024-05|2021-11-14 12:26:56.024-05||f|
99|De-Briefing||t|2021-08-21 00:21:42.452-04|2021-11-14 14:51:51.475847-05||f|
100|Start time-blocking||t|2021-08-21 00:51:55.785-04|2021-11-14 14:51:52.533559-05||f|
105|Plan Biology course for the semester||t|2021-08-21 14:00:37.234-04|2021-11-14 14:52:07.596893-05||f|
104|Look up classes to audit||t|2021-08-21 14:00:05.284-04|2021-11-14 14:52:08.127493-05||f|
134|Find and contract someone to trim resume||t|2021-12-19 20:49:57.326-05|2021-12-19 20:52:31.294568-05||f|
142|"Create work-items / action items / goals & todos to practice advice from '"You Are a Badass'""||f|2022-01-08 12:48:27.782-05|2022-04-28 16:23:38.391683-04||f|"{'"goal_14'":1}"
133|Learn how to create a developer resume||f|2021-12-19 20:49:57.326-05|2022-04-28 16:23:38.308443-04||f|"{'"goal_12'":2}"
136|Apply for at least 2 jobs||f|2021-12-20 16:40:05.814-05|2021-12-20 16:40:05.815-05||f|
23|Bodyweight workout||f|2021-07-28 19:35:11.577-04|2022-01-05 15:20:49.96243-05||f|
138|Wash & dry shirts||f|2022-01-07 11:27:36.764-05|2022-01-07 11:27:36.764-05||f|
